curated_path,category,authority,sensitivity,status,note,original_path,size_bytes,sha256
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-ai-logo-vertical-stacked.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-ai-logo-vertical-stacked.png,165683,a4ba3fe217e20b145ba6bb73a3a5f18f2d9e2892880a3d498ea06cce3ab01cb1
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-artificial-intelligence-logo-horizontal.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-artificial-intelligence-logo-horizontal.png,442744,1f4d2e9a5d783e515a9aebf6101f38184384a1c6a2b2fa5413e2ce5364984041
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-icon-preview-sheet.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-icon-preview-sheet.png,918047,337d9878789297b97d0f1b5aa3c81d6b529ff11ecc46c582f87e29451b826d7f
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-logo-usage-guidelines.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-logo-usage-guidelines.png,1058759,7ba324b58160bc0156e57e0eb00d6a677ace4bb27114c687716b0028c4a1bd8a
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-logomark-black-bg-white.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-logomark-black-bg-white.png,758032,e5a82dde32255d25ef2995322097003b2e783f66ea0b980a1537b8e58c245f8a
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-logomark-white-bg-black.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-logomark-white-bg-black.png,431959,decab247ad4882281baeefc2755e54d0a522d0c5b0eb700769243f19576d6122
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-logomark-white-transparent.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-logomark-white-transparent.png,255926,1d58fefd2fa6ba3a2b6cf93b25ae9417d9aa7d43bb570d27d59be2017c577565
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-approved-reference.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-approved-reference.png,146501,8fdff9096da0cdd7929c5266ce7ea78afc4384aae1a20ac3d38ebdf09d5c1e3c
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-construction-grid.svg,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-construction-grid.svg,13046,9bbecebbf30ac969ed026b847799f76d6b60a6680eee38e96f75e7a91947d8c9
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-currentcolor.svg,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-currentcolor.svg,11802,ae97e5770ebd1b5515f76538eb63d6b5a7dd50a3534cd1cdbeda93bc2afa331d
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-black-1024.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-black-1024.png,21757,e7b71c7683461f78875096c3d73d266e34afbf78abcc118db88f23a4943dfeac
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-black-2048.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-black-2048.png,56376,d820095f0b0dc5e87f1106a0cca70a7358bd7b927aef705c564144e535f9cfb1
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-black-256.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-black-256.png,4193,6e98d28ce7e68310e9602e83ee6915d25b22edb1d8971b9c115a8bfcef9e4e5b
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-black-512.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-black-512.png,9811,5ee7f1098563a61843027c32d4fd2038c346167f3853b52e7db36bba842a8c7a
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-black.svg,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-black.svg,11790,fc11352f84cfc5a8bf35b3f929063ca619f1c3474d653e34f9d6f9571beab15c
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-white-1024.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-white-1024.png,28606,85509c748689ee0c8204121052aaaf5c9f6686432d1012b39285a30ae69f9bb2
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-white-2048.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-white-2048.png,61801,65c8c7fce847e29a6b1c6e09c8ac6fa811d383cd1d99e4cd87adede2f07f59af
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-white-256.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-white-256.png,4601,47496be8f689e48b60c0b7f7ee46d169990d47d62dcce47c6ad44071537ecddb
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-white-512.png,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-white-512.png,13172,f5e4559439e495e7ee19b67c5604114f5ab5831e03da8ec30e931d71fe04e8e7
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/01-logo-master/sentra-logomark-master-white.svg,Corporate Brand,APPROVED SOURCE-OF-TRUTH LOGOMARK,GREEN,APPROVED,Preserved original package path to protect manifest/reference integrity.,brand/01-logo-master/sentra-logomark-master-white.svg,11790,534a29830558a290137c8e019d9dae1b83de0baa65938b2cc923b3be9aed94d3
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/readme.md,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/readme.md,454,92ff67293d2684a52d0fce27d47a071333994cbea5989dab6b46a6de2ba1aa56
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-logo-horizontal-full-black.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-logo-horizontal-full-black.svg,12046,aad6d0fc78ec0bbaa00c438df0b18e86acd6d18447e7f28643e6b88218c4c5a5
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-logo-horizontal-full-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-logo-horizontal-full-white.svg,12046,18377ad75276dbc05ad8d9624604b24ab89d912016cd0b997d915c8f9dab8257
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-logo-horizontal-short-black.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-logo-horizontal-short-black.svg,12025,c8110062ebca51da1b28f6dac10359ae331c4acf78b5d45aa8ce763d7a62b081
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-logo-horizontal-short-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-logo-horizontal-short-white.svg,12025,50af07d57a3ce62df3c74e53745d5d1f083a7cf384bd811e6849d7a6a355b191
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-logo-stacked-black.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-logo-stacked-black.svg,12209,1e5886795f8b83701d46ae1b5a29be4e0261c5125528d20575aa557e0e165769
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-logo-stacked-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-logo-stacked-white.svg,12209,28edad5c19974f043f51ecfab32a66811c6f1213610da783e57f720590c5d12a
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-wordmark-full-black.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-wordmark-full-black.svg,256,c6b708dce5926ed487854f67c86f9629be7b82fa49979a134d9ad460c3479244
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-wordmark-full-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-wordmark-full-white.svg,256,9195d088ac0955fbad92d30e379e9caf04268fc213ee1d47701c91f9f7c48def
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-wordmark-short-black.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-wordmark-short-black.svg,235,263491d2416e8522e948533c1bac3ff2fcb86eb18711b37d250bbb414e52215c
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/02-logo-variations/sentra-wordmark-short-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/02-logo-variations/sentra-wordmark-short-white.svg,235,30d0cf7aecda5081d369428d0382fc2a56d1a09d62ef2778789c490c1c9fe708
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/03-website/sentra-og-image-default-1200x630.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/03-website/sentra-og-image-default-1200x630.png,17179,d195a90bca1c6fba5ec9a312f88d70d9f7881be07e9d6d30756c678530481653
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/03-website/sentra-web-brand-placeholder-1600x900.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/03-website/sentra-web-brand-placeholder-1600x900.png,24667,fab2233080405af16b0b09b5210efd07e7bcdead424a4a66d32afba11a791abf
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/03-website/sentra-web-footer-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/03-website/sentra-web-footer-white.svg,12046,18377ad75276dbc05ad8d9624604b24ab89d912016cd0b997d915c8f9dab8257
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/03-website/sentra-web-navbar-black.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/03-website/sentra-web-navbar-black.svg,12046,aad6d0fc78ec0bbaa00c438df0b18e86acd6d18447e7f28643e6b88218c4c5a5
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/03-website/sentra-web-navbar-compact.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/03-website/sentra-web-navbar-compact.svg,11802,ae97e5770ebd1b5515f76538eb63d6b5a7dd50a3534cd1cdbeda93bc2afa331d
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/03-website/sentra-web-navbar-white.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/03-website/sentra-web-navbar-white.svg,12046,18377ad75276dbc05ad8d9624604b24ab89d912016cd0b997d915c8f9dab8257
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-apple-touch-icon-180.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-apple-touch-icon-180.png,4997,fdc3f67504158f017669ab7f2c26ee02c50c1072d6930a073016baf97c9f32d8
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon-16.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon-16.png,331,4fbb3f1e7a54bfaf1d478031dcdd4063dbc23a4d794c82aca3b7b4347984a1fd
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon-32.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon-32.png,632,3ebcdfce3e7dc03c62f38d46c105b386074155ff865da5306a5430e674bf3a1e
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon-48.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon-48.png,912,64d78bab10fd13e2f376dc05f2d486902a7f1c0a145ef9507d13a98450a58b7c
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon-64.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon-64.png,1199,521582c535770631b41dd2d9d1b620342896549d8cc606ae777561824760ce60
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon-dark-32.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon-dark-32.png,990,8961a033a588652426948fcd9f69f43bf51406914fecd43d0c5ea8666cb03542
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon.ico,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon.ico,3971,173a0d0de280fdbc8adaa90ee7b4981fdb868b1ed8fa93634224d91e6d3955a1
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/04-favicon-browser/sentra-favicon.svg,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/04-favicon-browser/sentra-favicon.svg,11802,ae97e5770ebd1b5515f76538eb63d6b5a7dd50a3534cd1cdbeda93bc2afa331d
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-github-avatar-500.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-github-avatar-500.png,15393,0553bd78565b3253ee98e9986c7111db782ddfd0e4ddb71cb6015b9442e1f782
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-github-social-preview-1280x640.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-github-social-preview-1280x640.png,18313,1f93656fc2d9df861946a082392bbda0ceeda3bd824a95f5d5f86cd4999b03a7
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-instagram-avatar-1080.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-instagram-avatar-1080.png,37068,517f07c4802b421d86ebc2b74ca288d6905a3beda9820079b802fc387b37ea30
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-instagram-post-portrait-1080x1440.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-instagram-post-portrait-1080x1440.png,21431,07ca942d95701efdb058ef652218af049b7bb843c06627d2432398bbde14214b
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-instagram-post-square-1080.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-instagram-post-square-1080.png,18991,bef676b134a8e4b6bd845685693438e4cf17cba07bc2dd30993808a5f7e52d45
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-instagram-story-1080x1920.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-instagram-story-1080x1920.png,24551,c7ed069d961d25c5ab5c04ffdcb3668108f361d5b7d373b1d3be5d49ce9af717
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-linkedin-cover-4200x700.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-linkedin-cover-4200x700.png,31911,1b97bf2c737c5bdf44cc7a4a50305459d84530f19e9514de6567efd17e1c7b04
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/05-social-media/sentra-linkedin-page-logo-400.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/05-social-media/sentra-linkedin-page-logo-400.png,11868,9b3ca106287651007db00a1beec42f9bd2a8ce10ee31bdd20cf5432da037020f
